,user,state,action,follow_up_state,Recency,Frequency,Monetary
124,DNCIG,130,agent,150,20,9,2
125,DJFVD,130,agent,170,20,9,2
126,DJFVD,150,agent,150,20,3,7
127,FVNIW,150,agent,150,1,9,2
128,DNCIG,150,agent,150,9,16,2
129,DJFVD,150,agent,170,9,9,5
130,DNCIG,150,agent,170,1,9,2
131,FVEVB,150,agent,130,20,3,2
132,FVNIW,170,agent,150,1,16,5
133,FVEVB,170,agent,170,1,9,5
134,DJFVD,170,agent,200,9,3,7
135,FVEVB,170,agent,200,20,9,7
136,FVEVB,170,agent,200,9,3,7
137,DJFVD,170,agent,130,20,3,5
138,DNCIG,200,agent,200,20,3,5
139,DNCIG,200,agent,200,20,16,5
140,FVEVB,200,agent,200,1,9,7
141,FVNIW,200,agent,170,9,16,5
142,FVNIW,200,agent,170,9,3,2
143,DNCIG,200,agent,170,20,16,5
144,FVKEW,50,tv,50,9,16,7
145,DJFVD,50,tv,50,20,9,2
146,DJFVD,50,tv,100,20,16,5
147,FVKEW,50,tv,100,20,3,5
148,DNCIG,50,tv,130,1,16,7
149,FVNIW,50,tv,150,9,3,2
150,FVKEW,100,tv,100,9,3,5
151,FVNIW,100,tv,100,1,3,2
152,DNCIG,100,tv,100,1,9,5
153,DJFVD,100,tv,130,20,3,5
154,FVEVB,100,tv,130,1,3,2
155,FVKEW,100,tv,170,20,3,7
156,FVEVB,130,tv,130,9,16,7
157,FVKEW,130,tv,130,1,9,7
158,DJFVD,130,tv,130,9,9,5
159,FVKEW,130,tv,150,20,9,2
160,FVNIW,130,tv,150,9,16,7
161,FVKEW,130,tv,150,20,16,5
162,FVEVB,150,tv,150,20,9,5
163,DNCIG,150,tv,150,20,9,2
164,FVEVB,150,tv,150,9,16,2
165,DNCIG,150,tv,150,1,9,7
166,DJFVD,150,tv,170,1,16,7
167,FVKEW,150,tv,130,1,16,5
168,FVNIW,170,tv,170,1,16,5
169,FVNIW,170,tv,170,20,3,7
170,FVNIW,170,tv,200,20,3,2
171,FVNIW,170,tv,150,20,9,2
172,DJFVD,170,tv,200,9,3,7
173,FVEVB,170,tv,170,9,3,2
174,DJFVD,200,tv,200,20,3,5
175,FVEVB,200,tv,200,20,3,5
176,FVEVB,200,tv,150,20,9,2
177,FVNIW,200,tv,170,1,9,5
178,DNCIG,200,tv,200,1,3,7
179,FVNIW,200,tv,170,9,16,2
180,FVKEW,50,no contact,50,1,3,5
181,FVEVB,50,no contact,50,1,3,2
182,FVEVB,50,no contact,50,1,16,7
183,FVNIW,50,no contact,50,9,9,2
184,FVNIW,50,no contact,50,20,9,5
185,DNCIG,50,no contact,50,1,3,2
186,DJFVD,100,no contact,100,20,9,7
187,FVEVB,100,no contact,50,1,9,5
188,FVKEW,100,no contact,100,9,16,5
189,DNCIG,100,no contact,50,1,9,2
190,FVKEW,100,no contact,130,9,9,7
191,FVEVB,100,no contact,130,9,3,7
192,DNCIG,130,no contact,130,20,3,7
193,FVNIW,130,no contact,150,9,3,2
194,DNCIG,130,no contact,130,1,3,2
195,DJFVD,130,no contact,150,1,9,5
196,DNCIG,130,no contact,100,20,9,7
197,DJFVD,130,no contact,100,1,9,5
198,DJFVD,150,no contact,130,9,16,2
199,DNCIG,150,no contact,130,9,9,2
200,DJFVD,150,no contact,150,9,9,2
201,FVEVB,150,no contact,150,20,9,2
202,DNCIG,150,no contact,170,9,3,5
203,FVEVB,150,no contact,100,20,3,2
204,DNCIG,170,no contact,150,1,3,7
205,FVEVB,170,no contact,170,1,3,7
206,FVEVB,170,no contact,200,1,3,7
207,DNCIG,170,no contact,200,1,16,7
208,FVEVB,170,no contact,200,20,16,2
209,DNCIG,170,no contact,200,1,9,7
210,FVNIW,200,no contact,200,20,3,7
211,FVNIW,200,no contact,200,1,9,7
212,FVEVB,200,no contact,200,1,9,5
213,FVNIW,200,no contact,170,20,16,5
214,DNCIG,200,no contact,200,1,3,5
215,DNCIG,200,no contact,170,1,9,2
216,FVNIW,50,mail,50,1,3,2
217,FVNIW,50,mail,50,20,9,7
218,DJFVD,50,mail,100,1,16,7
219,DJFVD,50,mail,130,20,3,2
220,FVNIW,50,mail,130,1,16,7
221,FVEVB,50,mail,150,20,16,7
222,FVKEW,100,mail,100,1,9,2
223,FVKEW,100,mail,100,20,9,2
224,DJFVD,100,mail,100,1,16,7
225,DJFVD,100,mail,130,1,9,7
226,FVEVB,100,mail,130,9,3,5
227,FVEVB,100,mail,150,9,3,5
228,DJFVD,130,mail,50,9,9,2
229,FVEVB,130,mail,50,9,9,7
230,FVNIW,130,mail,100,1,3,7
231,DJFVD,130,mail,130,1,3,7
232,FVEVB,130,mail,130,1,16,5
233,DNCIG,130,mail,150,1,9,2
234,DJFVD,150,mail,50,20,9,5
235,DJFVD,150,mail,100,1,16,5
236,FVNIW,150,mail,100,9,9,2
237,DJFVD,150,mail,130,20,9,7
238,DNCIG,150,mail,130,1,3,7
239,DNCIG,150,mail,130,20,9,7
240,FVEVB,170,mail,200,9,16,7
241,FVKEW,170,mail,200,20,3,7
242,FVKEW,170,mail,170,1,3,2
243,DNCIG,170,mail,170,9,16,2
244,DJFVD,170,mail,170,1,9,7
245,DNCIG,170,mail,170,20,9,7
246,FVKEW,200,mail,200,9,16,7
247,FVEVB,200,mail,200,1,9,2
248,FVNIW,200,mail,200,1,9,5
249,DJFVD,200,mail,200,1,3,7
250,FVEVB,200,mail,200,9,3,7
251,DJFVD,200,mail,200,1,16,7
252,FVKEW,50,call,100,9,3,2
253,DNCIG,50,call,100,20,3,2
254,FVEVB,50,call,100,9,9,5
255,FVKEW,50,call,100,1,9,5
256,DNCIG,50,call,100,9,3,7
257,FVEVB,50,call,130,20,9,5
258,FVKEW,100,call,50,1,9,2
259,DNCIG,100,call,50,1,3,7
260,FVEVB,100,call,50,1,3,7
261,FVKEW,100,call,50,20,3,7
262,DNCIG,100,call,100,1,3,5
263,FVEVB,100,call,130,9,16,7
264,FVNIW,130,call,50,20,3,5
265,FVKEW,130,call,50,20,9,7
266,FVKEW,130,call,50,9,3,7
267,FVKEW,130,call,100,9,9,2
268,DNCIG,130,call,100,9,9,2
269,FVEVB,130,call,130,9,9,5
270,FVNIW,150,call,50,1,3,2
271,FVKEW,150,call,100,9,3,2
272,DJFVD,150,call,100,9,3,2
273,DJFVD,150,call,130,1,9,7
274,DJFVD,150,call,130,1,3,2
275,DNCIG,150,call,130,20,16,2
276,DJFVD,170,call,150,1,16,7
277,FVNIW,170,call,150,9,16,2
278,FVEVB,170,call,150,20,16,5
279,DJFVD,170,call,150,9,3,7
280,DJFVD,170,call,130,20,3,7
281,FVEVB,170,call,100,9,3,7
282,FVKEW,200,call,170,1,16,2
283,FVEVB,200,call,170,9,16,5
284,DNCIG,200,call,170,20,3,7
285,DNCIG,200,call,150,9,16,5
286,FVEVB,200,call,150,1,3,2
287,FVKEW,200,call,150,9,9,5
288,FVKEW,50,email,50,1,3,2
289,FVKEW,50,email,100,20,16,5
290,DJFVD,50,email,100,20,16,2
291,FVNIW,50,email,100,9,3,2
292,FVEVB,50,email,100,1,16,2
293,FVNIW,50,email,130,20,3,2
294,FVKEW,100,email,50,20,9,7
295,DNCIG,100,email,50,1,3,2
296,DNCIG,100,email,100,1,3,5
297,FVNIW,100,email,100,20,16,5
298,FVEVB,100,email,100,20,16,7
299,FVNIW,100,email,130,1,3,5
300,DJFVD,130,email,130,9,9,2
301,FVKEW,130,email,130,20,3,7
302,FVKEW,130,email,130,20,16,2
303,FVNIW,130,email,130,9,9,5
304,DJFVD,130,email,130,20,3,2
305,DNCIG,130,email,130,20,9,2
306,FVEVB,150,email,50,9,3,2
307,FVEVB,150,email,130,20,9,2
308,DNCIG,150,email,130,20,16,2
309,FVKEW,150,email,130,1,9,2
310,DJFVD,150,email,100,1,9,2
311,FVNIW,150,email,130,1,9,5
312,DJFVD,170,email,170,1,9,7
313,DNCIG,170,email,170,9,9,5
314,FVEVB,170,email,150,20,3,2
315,FVNIW,170,email,150,9,3,7
316,DNCIG,170,email,150,20,16,2
317,FVKEW,170,email,150,20,9,7
318,DNCIG,200,email,200,9,9,5
319,DJFVD,200,email,170,1,3,2
320,FVNIW,200,email,150,1,3,5
321,FVEVB,200,email,150,20,9,2
322,DNCIG,200,email,150,9,9,7
323,FVEVB,200,email,150,9,3,7
324,FVEVB,50,agent,100,20,16,7
325,FVNIW,50,agent,130,20,9,7
326,FVKEW,50,agent,130,1,16,7
327,DJFVD,50,agent,150,20,3,5
328,FVNIW,50,agent,150,9,9,7
329,DNCIG,50,agent,170,9,9,5
330,FVKEW,100,agent,130,9,16,5
331,DJFVD,100,agent,130,1,16,2
332,FVNIW,100,agent,150,9,16,2
333,FVKEW,100,agent,150,20,9,2
334,DNCIG,100,agent,150,20,16,2
335,FVNIW,100,agent,170,1,3,2
336,FVNIW,130,agent,130,20,9,5
337,DNCIG,130,agent,130,9,16,2
338,FVKEW,130,agent,150,9,9,5
339,DJFVD,130,agent,150,20,16,2
340,DNCIG,130,agent,150,20,9,2
341,DJFVD,130,agent,170,20,9,2
342,DJFVD,150,agent,150,20,3,7
343,FVNIW,150,agent,150,1,9,2
344,DNCIG,150,agent,150,9,16,2
345,DJFVD,150,agent,170,9,9,5
346,DNCIG,150,agent,170,1,9,2
347,FVEVB,150,agent,130,20,3,2
348,FVNIW,170,agent,150,1,16,5
349,FVEVB,170,agent,170,1,9,5
350,DJFVD,170,agent,200,9,3,7
351,FVEVB,170,agent,200,20,9,7
352,FVEVB,170,agent,200,9,3,7
353,DJFVD,170,agent,130,20,3,5
354,DNCIG,200,agent,200,20,3,5
355,DNCIG,200,agent,200,20,16,5
356,FVEVB,200,agent,200,1,9,7
357,FVNIW,200,agent,170,9,16,5
358,FVNIW,200,agent,170,9,3,2
359,DNCIG,200,agent,170,20,16,5
360,FVKEW,50,tv,50,9,16,7
361,DJFVD,50,tv,50,20,9,2
362,DJFVD,50,tv,100,20,16,5
363,FVKEW,50,tv,100,20,3,5
364,DNCIG,50,tv,130,1,16,7
365,FVNIW,50,tv,150,9,3,2
366,FVKEW,100,tv,100,9,3,5
367,FVNIW,100,tv,100,1,3,2
368,DNCIG,100,tv,100,1,9,5
369,DJFVD,100,tv,130,20,3,5
370,FVEVB,100,tv,130,1,3,2
371,FVKEW,100,tv,170,20,3,7
372,FVEVB,130,tv,130,9,16,7
373,FVKEW,130,tv,130,1,9,7
374,DJFVD,130,tv,130,9,9,5
375,FVKEW,130,tv,150,20,9,2
376,FVNIW,130,tv,150,9,16,7
377,FVKEW,130,tv,150,20,16,5
378,FVEVB,150,tv,150,20,9,5
379,DNCIG,150,tv,150,20,9,2
380,FVEVB,150,tv,150,9,16,2
381,DNCIG,150,tv,150,1,9,7
382,DJFVD,150,tv,170,1,16,7
383,FVKEW,150,tv,130,1,16,5
384,FVNIW,170,tv,170,1,16,5
385,FVNIW,170,tv,170,20,3,7
386,FVNIW,170,tv,200,20,3,2
387,FVNIW,170,tv,150,20,9,2
388,DJFVD,170,tv,200,9,3,7
389,FVEVB,170,tv,170,9,3,2
390,DJFVD,200,tv,200,20,3,5
391,FVEVB,200,tv,200,20,3,5
392,FVEVB,200,tv,150,20,9,2
393,FVNIW,200,tv,170,1,9,5
394,DNCIG,200,tv,200,1,3,7
395,FVNIW,200,tv,170,9,16,2
396,FVKEW,50,no contact,50,1,3,5
397,FVEVB,50,no contact,50,1,3,2
398,FVEVB,50,no contact,50,1,16,7
399,FVNIW,50,no contact,50,9,9,2
400,FVNIW,50,no contact,50,20,9,5
401,DNCIG,50,no contact,50,1,3,2
402,DJFVD,100,no contact,100,20,9,7
403,FVEVB,100,no contact,50,1,9,5
404,FVKEW,100,no contact,100,9,16,5
405,DNCIG,100,no contact,50,1,9,2
406,FVKEW,100,no contact,130,9,9,7
407,FVEVB,100,no contact,130,9,3,7
408,DNCIG,130,no contact,130,20,3,7
409,FVNIW,130,no contact,150,9,3,2
410,DNCIG,130,no contact,130,1,3,2
411,DJFVD,130,no contact,150,1,9,5
412,DNCIG,130,no contact,100,20,9,7
413,DJFVD,130,no contact,100,1,9,5
414,DJFVD,150,no contact,130,9,16,2
415,DNCIG,150,no contact,130,9,9,2
416,DJFVD,150,no contact,150,9,9,2
417,FVEVB,150,no contact,150,20,9,2
418,DNCIG,150,no contact,170,9,3,5
419,FVEVB,150,no contact,100,20,3,2
420,DNCIG,170,no contact,150,1,3,7
421,FVEVB,170,no contact,170,1,3,7
422,FVEVB,170,no contact,200,1,3,7
423,DNCIG,170,no contact,200,1,16,7
424,FVEVB,170,no contact,200,20,16,2
425,DNCIG,170,no contact,200,1,9,7
426,FVNIW,200,no contact,200,20,3,7
427,FVNIW,200,no contact,200,1,9,7
428,FVEVB,200,no contact,200,1,9,5
429,FVNIW,200,no contact,170,20,16,5
430,DNCIG,200,no contact,200,1,3,5
431,DNCIG,200,no contact,170,1,9,2
432,FVNIW,50,mail,50,1,3,2
433,FVNIW,50,mail,50,20,9,7
434,DJFVD,50,mail,100,1,16,7
435,DJFVD,50,mail,130,20,3,2
436,FVNIW,50,mail,130,1,16,7
437,FVEVB,50,mail,150,20,16,7
438,FVKEW,100,mail,100,1,9,2
439,FVKEW,100,mail,100,20,9,2
440,DJFVD,100,mail,100,1,16,7
441,DJFVD,100,mail,130,1,9,7
442,FVEVB,100,mail,130,9,3,5
443,FVEVB,100,mail,150,9,3,5
444,DJFVD,130,mail,50,9,9,2
445,FVEVB,130,mail,50,9,9,7
446,FVNIW,130,mail,100,1,3,7
447,DJFVD,130,mail,130,1,3,7
448,FVEVB,130,mail,130,1,16,5
449,DNCIG,130,mail,150,1,9,2
450,DJFVD,150,mail,50,20,9,5
451,DJFVD,150,mail,100,1,16,5
452,FVNIW,150,mail,100,9,9,2
453,DJFVD,150,mail,130,20,9,7
454,DNCIG,150,mail,130,1,3,7
455,DNCIG,150,mail,130,20,9,7
456,FVEVB,170,mail,200,9,16,7
457,FVKEW,170,mail,200,20,3,7
458,FVKEW,170,mail,170,1,3,2
459,DNCIG,170,mail,170,9,16,2
460,DJFVD,170,mail,170,1,9,7
461,DNCIG,170,mail,170,20,9,7
462,FVKEW,200,mail,200,9,16,7
463,FVEVB,200,mail,200,1,9,2
464,FVNIW,200,mail,200,1,9,5
465,DJFVD,200,mail,200,1,3,7
466,FVEVB,200,mail,200,9,3,7
467,DJFVD,200,mail,200,1,16,7
468,FVKEW,50,call,100,9,3,2
469,DNCIG,50,call,100,20,3,2
470,FVEVB,50,call,100,9,9,5
471,FVKEW,50,call,100,1,9,5
472,DNCIG,50,call,100,9,3,7
473,FVEVB,50,call,130,20,9,5
474,FVKEW,100,call,50,1,9,2
475,DNCIG,100,call,50,1,3,7
476,FVEVB,100,call,50,1,3,7
477,FVKEW,100,call,50,20,3,7
478,DNCIG,100,call,100,1,3,5
479,FVEVB,100,call,130,9,16,7
480,FVNIW,130,call,50,20,3,5
481,FVKEW,130,call,50,20,9,7
482,FVKEW,130,call,50,9,3,7
483,FVKEW,130,call,100,9,9,2
484,DNCIG,130,call,100,9,9,2
485,FVEVB,130,call,130,9,9,5
486,FVNIW,150,call,50,1,3,2
487,FVKEW,150,call,100,9,3,2
488,DJFVD,150,call,100,9,3,2
489,DJFVD,150,call,130,1,9,7
490,DJFVD,150,call,130,1,3,2
491,DNCIG,150,call,130,20,16,2
492,DJFVD,170,call,150,1,16,7
493,FVNIW,170,call,150,9,16,2
494,FVEVB,170,call,150,20,16,5
495,DJFVD,170,call,150,9,3,7
496,DJFVD,170,call,130,20,3,7
497,FVEVB,170,call,100,9,3,7
498,FVKEW,200,call,170,1,16,2
499,FVEVB,200,call,170,9,16,5
500,DNCIG,200,call,170,20,3,7
501,DNCIG,200,call,150,9,16,5
502,FVEVB,200,call,150,1,3,2
503,FVKEW,200,call,150,9,9,5
504,FVKEW,50,email,50,1,3,2
505,FVKEW,50,email,100,20,16,5
506,DJFVD,50,email,100,20,16,2
507,FVNIW,50,email,100,9,3,2
508,FVEVB,50,email,100,1,16,2
509,FVNIW,50,email,130,20,3,2
510,FVKEW,100,email,50,20,9,7
511,DNCIG,100,email,50,1,3,2
512,DNCIG,100,email,100,1,3,5
513,FVNIW,100,email,100,20,16,5
514,FVEVB,100,email,100,20,16,7
515,FVNIW,100,email,130,1,3,5
516,DJFVD,130,email,130,9,9,2
517,FVKEW,130,email,130,20,3,7
518,FVKEW,130,email,130,20,16,2
519,FVNIW,130,email,130,9,9,5
520,DJFVD,130,email,130,20,3,2
521,DNCIG,130,email,130,20,9,2
522,FVEVB,150,email,50,9,3,2
523,FVEVB,150,email,130,20,9,2
524,DNCIG,150,email,130,20,16,2
525,FVKEW,150,email,130,1,9,2
526,DJFVD,150,email,100,1,9,2
527,FVNIW,150,email,130,1,9,5
528,DJFVD,170,email,170,1,9,7
529,DNCIG,170,email,170,9,9,5
530,FVEVB,170,email,150,20,3,2
531,FVNIW,170,email,150,9,3,7
532,DNCIG,170,email,150,20,16,2
533,FVKEW,170,email,150,20,9,7
534,DNCIG,200,email,200,9,9,5
535,DJFVD,200,email,170,1,3,2
536,FVNIW,200,email,150,1,3,5
537,FVEVB,200,email,150,20,9,2
538,DNCIG,200,email,150,9,9,7
539,FVEVB,200,email,150,9,3,7
540,FVEVB,50,agent,100,20,16,7
541,FVNIW,50,agent,130,20,9,7
542,FVKEW,50,agent,130,1,16,7
543,DJFVD,50,agent,150,20,3,5
544,FVNIW,50,agent,150,9,9,7
545,DNCIG,50,agent,170,9,9,5
546,FVKEW,100,agent,130,9,16,5
547,DJFVD,100,agent,130,1,16,2
548,FVNIW,100,agent,150,9,16,2
549,FVKEW,100,agent,150,20,9,2
550,DNCIG,100,agent,150,20,16,2
551,FVNIW,100,agent,170,1,3,2
552,FVNIW,130,agent,130,20,9,5
553,DNCIG,130,agent,130,9,16,2
554,FVKEW,130,agent,150,9,9,5
555,DJFVD,130,agent,150,20,16,2
556,DNCIG,130,agent,150,20,9,2
557,DJFVD,130,agent,170,20,9,2
558,DJFVD,150,agent,150,20,3,7
559,FVNIW,150,agent,150,1,9,2
560,DNCIG,150,agent,150,9,16,2
561,DJFVD,150,agent,170,9,9,5
562,DNCIG,150,agent,170,1,9,2
563,FVEVB,150,agent,130,20,3,2
564,FVNIW,170,agent,150,1,16,5
565,FVEVB,170,agent,170,1,9,5
566,DJFVD,170,agent,200,9,3,7
567,FVEVB,170,agent,200,20,9,7
568,FVEVB,170,agent,200,9,3,7
569,DJFVD,170,agent,130,20,3,5
570,DNCIG,200,agent,200,20,3,5
571,DNCIG,200,agent,200,20,16,5
572,FVEVB,200,agent,200,1,9,7
573,FVNIW,200,agent,170,9,16,5
574,FVNIW,200,agent,170,9,3,2
575,DNCIG,200,agent,170,20,16,5
576,FVKEW,50,tv,50,9,16,7
577,DJFVD,50,tv,50,20,9,2
578,DJFVD,50,tv,100,20,16,5
579,FVKEW,50,tv,100,20,3,5
580,DNCIG,50,tv,130,1,16,7
581,FVNIW,50,tv,150,9,3,2
582,FVKEW,100,tv,100,9,3,5
583,FVNIW,100,tv,100,1,3,2
584,DNCIG,100,tv,100,1,9,5
585,DJFVD,100,tv,130,20,3,5
586,FVEVB,100,tv,130,1,3,2
587,FVKEW,100,tv,170,20,3,7
588,FVEVB,130,tv,130,9,16,7
589,FVKEW,130,tv,130,1,9,7
590,DJFVD,130,tv,130,9,9,5
591,FVKEW,130,tv,150,20,9,2
592,FVNIW,130,tv,150,9,16,7
593,FVKEW,130,tv,150,20,16,5
594,FVEVB,150,tv,150,20,9,5
595,DNCIG,150,tv,150,20,9,2
596,FVEVB,150,tv,150,9,16,2
597,DNCIG,150,tv,150,1,9,7
598,DJFVD,150,tv,170,1,16,7
599,FVKEW,150,tv,130,1,16,5
600,FVNIW,170,tv,170,1,16,5
601,FVNIW,170,tv,170,20,3,7
602,FVNIW,170,tv,200,20,3,2
603,FVNIW,170,tv,150,20,9,2
604,DJFVD,170,tv,200,9,3,7
605,FVEVB,170,tv,170,9,3,2
606,DJFVD,200,tv,200,20,3,5
607,FVEVB,200,tv,200,20,3,5
608,FVEVB,200,tv,150,20,9,2
609,FVNIW,200,tv,170,1,9,5
610,DNCIG,200,tv,200,1,3,7
611,FVNIW,200,tv,170,9,16,2
612,FVKEW,50,no contact,50,1,3,5
613,FVEVB,50,no contact,50,1,3,2
614,FVEVB,50,no contact,50,1,16,7
615,FVNIW,50,no contact,50,9,9,2
616,FVNIW,50,no contact,50,20,9,5
617,DNCIG,50,no contact,50,1,3,2
618,DJFVD,100,no contact,100,20,9,7
619,FVEVB,100,no contact,50,1,9,5
620,FVKEW,100,no contact,100,9,16,5
621,DNCIG,100,no contact,50,1,9,2
622,FVKEW,100,no contact,130,9,9,7
623,FVEVB,100,no contact,130,9,3,7
624,DNCIG,130,no contact,130,20,3,7
625,FVNIW,130,no contact,150,9,3,2
626,DNCIG,130,no contact,130,1,3,2
627,DJFVD,130,no contact,150,1,9,5
628,DNCIG,130,no contact,100,20,9,7
629,DJFVD,130,no contact,100,1,9,5
630,DJFVD,150,no contact,130,9,16,2
631,DNCIG,150,no contact,130,9,9,2
632,DJFVD,150,no contact,150,9,9,2
633,FVEVB,150,no contact,150,20,9,2
634,DNCIG,150,no contact,170,9,3,5
635,FVEVB,150,no contact,100,20,3,2
636,DNCIG,170,no contact,150,1,3,7
637,FVEVB,170,no contact,170,1,3,7
638,FVEVB,170,no contact,200,1,3,7
639,DNCIG,170,no contact,200,1,16,7
640,FVEVB,170,no contact,200,20,16,2
641,DNCIG,170,no contact,200,1,9,7
642,FVNIW,200,no contact,200,20,3,7
643,FVNIW,200,no contact,200,1,9,7
644,FVEVB,200,no contact,200,1,9,5
645,FVNIW,200,no contact,170,20,16,5
646,DNCIG,200,no contact,200,1,3,5
647,DNCIG,200,no contact,170,1,9,2
648,FVNIW,50,mail,50,1,3,2
649,FVNIW,50,mail,50,20,9,7
650,DJFVD,50,mail,100,1,16,7
651,DJFVD,50,mail,130,20,3,2
652,FVNIW,50,mail,130,1,16,7
653,FVEVB,50,mail,150,20,16,7
654,FVKEW,100,mail,100,1,9,2
655,FVKEW,100,mail,100,20,9,2
656,DJFVD,100,mail,100,1,16,7
657,DJFVD,100,mail,130,1,9,7
658,FVEVB,100,mail,130,9,3,5
659,FVEVB,100,mail,150,9,3,5
660,DJFVD,130,mail,50,9,9,2
661,FVEVB,130,mail,50,9,9,7
662,FVNIW,130,mail,100,1,3,7
663,DJFVD,130,mail,130,1,3,7
664,FVEVB,130,mail,130,1,16,5
665,DNCIG,130,mail,150,1,9,2
666,DJFVD,150,mail,50,20,9,5
667,DJFVD,150,mail,100,1,16,5
668,FVNIW,150,mail,100,9,9,2
